name,price,description,image,category_id
Điện thoại Honor X6c - Hàng Chính Hãng,2990000,,https://salt.tikicdn.com/cache/280x280/ts/product/3b/3b/5d/8837ad400769ad8a9550df61533fde45.jpeg,1789
Điện thoại Xiaomi Redmi Note 14 Pro 12GB/256GB - Hàng Chính Hãng,5950000,,https://salt.tikicdn.com/cache/280x280/ts/product/8c/c8/00/676098509f3b7b6568acbf60932e1884.jpg,1789
Điện thoại Xiaomi Redmi Note 14 Pro 8GB/256GB - Hàng Chính Hãng,5550000,,https://salt.tikicdn.com/cache/280x280/ts/product/d5/42/26/2c20bdffbb4cf7a923fb198e5f652a77.jpg,1789
Điện thoại Xiaomi Redmi Note 14 8GB/256GB - Hàng Chính Hãng,4690000,,https://salt.tikicdn.com/cache/280x280/ts/product/76/d3/c0/e6e1a29016892947afcee13970aa9686.jpg,1789
Điện thoại Realme P3 Lite ( 4GB/128GB) - Hàng Chính hãng - Xanh Rừng Thông ,2750000,,https://salt.tikicdn.com/cache/280x280/ts/product/99/e6/6c/043d72c7c51d5bfb46acf0d3f06fc304.jpg,1789
Điện thoại Xiaomi Redmi 15C (4GB/128GB) - Hàng chính hãng,2890000,,https://salt.tikicdn.com/cache/280x280/ts/product/93/80/a5/86e350416e22da325c5264fa380eb42d.jpg,1789
Điện thoại Xiaomi Poco C71 (3GB/64GB) - Hàng chính hãng,2680000,,https://salt.tikicdn.com/cache/280x280/ts/product/fd/23/9e/729799ef06351680d854449923ff4281.jpg,1789
Điện thoại Realme C75 (8GB/128GB)  - Hàng Chính Hãng,3850000,,https://salt.tikicdn.com/cache/280x280/ts/product/ec/79/d4/4ac358aee1c3581a4dab012efafca939.jpeg,1789
Điện thoại Realme C75X (6GB/128GB) - Hàng Chính Hãng,3650000,,https://salt.tikicdn.com/cache/280x280/ts/product/0a/00/bd/21356896ae43a875038355d8b270216e.png,1789
Điện thoại Realme Note 70 (4GB/128GB) - Hàng Chính Hãng,2690000,,https://salt.tikicdn.com/cache/280x280/ts/product/c3/ae/48/69a37fe0b519e173ad2ecaf008e1c7f9.jpg,1789
Điện Thoại Realme Note 60x 4GB/64GB - Hàng Chính Hãng,2090000,,https://salt.tikicdn.com/cache/280x280/ts/product/68/b5/7e/b14cf6043ed3d0349697710c9932a8af.png,1789
Máy tính bảng iPad Pro M5 11 inch WiFi,28990000,,https://salt.tikicdn.com/cache/280x280/ts/product/1c/6f/3f/3b87a4591f8d2fa33b26d0bafa4aab90.jpeg,1789
Điện Thoại Xiaomi POCO C85 8GB/256GB - Hàng Chính Hãng,3439000,,https://salt.tikicdn.com/cache/280x280/ts/product/ab/0c/93/02c04cfd17f5ae69aed9f07f873bf069.jpg,1789
Điện Thoại Xiaomi Redmi Note 14 8GB/256GB - Hàng Chính Hãng,5109000,,https://salt.tikicdn.com/cache/280x280/ts/product/e9/57/7c/9fd1a6e6b53d76046da7443a04ebbd3b.jpg,1789
Điện Thoại Xiaomi Redmi Note 14 8GB/128GB - Hàng Chính Hãng,5490000,,https://salt.tikicdn.com/cache/280x280/ts/product/c9/1c/b3/424cbae781cc1738e0e4f79e09a837a7.jpg,1789
Máy Tính Bảng Galaxy Tab S11 Wifi (12GB/128GB) - Hàng Chính Hãng,14990000,,https://salt.tikicdn.com/cache/280x280/ts/product/73/5f/d3/b34d66b7e431f37a94a2587a84f2a517.jpg,1789
Điện Thoại Xiaomi 15T Pro 5G 12GB/512GB - Hàng Chính Hãng,16429000,,https://salt.tikicdn.com/cache/280x280/ts/product/bb/9e/78/99c9c4cb684745c9f01964b8548c4257.jpg,1789
Điện thoại POCO C71 (4GB/128GB) - Hàng Chính Hãng,2050000,,https://salt.tikicdn.com/cache/280x280/ts/product/b5/b1/92/46599ee26897df18dd01db672aa7ac74.png,1789
"Điện Thoại Samsung Galaxy A17 LTE (8/128GB), Kính Cường Lực Gorilla Victus, Camera 50MP & IOS, AI Gemini - Hàng Chính Hãng",4350000,,https://salt.tikicdn.com/cache/280x280/ts/product/9d/6d/b7/ac0cf6627957a9807103864b3cc18e7e.jpg,1789
Máy Tính Bảng Galaxy Tab S10 FE Wifi (8GB/128GB) - Hàng Chính Hãng,8490000,,https://salt.tikicdn.com/cache/280x280/ts/product/54/9d/a3/432eddf53e1681ff4d68ad12d67faa3b.jpg,1789
Điện Thoại Xiaomi Redmi 13 6GB/128GB - Hàng Chính Hãng,2939000,,https://salt.tikicdn.com/cache/280x280/ts/product/67/24/2d/17d53a9ca3b08d40d39bff3b6fb979cb.jpg,1789
Điện Thoại Samsung Galaxy A06 5G 4GB/128GB - Hàng Chính Hãng,2749000,,https://salt.tikicdn.com/cache/280x280/ts/product/54/43/66/455eeffaf69969ae183e6e8bf44649d9.jpg,1789
Máy tính bảng iPad Gen 11 (A16) WiFi + Cellular,12750000,,https://salt.tikicdn.com/cache/280x280/ts/product/5e/23/2c/54e91d0ed216ddfa7bb5d9bfa20a534c.jpg,1789
Điện Thoại Samsung Galaxy A36 5G 8GB/128GB - Hàng Chính Hãng,6639000,,https://salt.tikicdn.com/cache/280x280/ts/product/1d/33/6b/a090d6f8da2d6a4b0e2fb94b37169ff4.jpg,1789
Điện Thoại Xiaomi Redmi Note 14 6GB/128GB - Hàng Chính Hãng,4129000,,https://salt.tikicdn.com/cache/280x280/ts/product/43/76/dd/fd7ecc94870f560a97962f4e803786db.jpg,1789
Điện thoại Xiaomi Redmi 14C (4GB/128GB) - Hàng chính hãng,3290000,,https://salt.tikicdn.com/cache/280x280/ts/product/38/97/5d/3cda0fba7efa3a90c3bae17bd0cce6fe.jpg,1789
Điện thoại Samsung Galaxy A16 LTE - Hàng chính hãng,5040000,,https://salt.tikicdn.com/cache/280x280/ts/product/fb/78/0c/f88ea8836a305f29cfe7f21a0f4029f2.jpg,1789
